ID,Label,Text,Image Path
1245712513628622848,1,"This is mad 5g poles just popping up everywhere, now all of a sudden people just dropping down dead in the streets .. that ain’t corona or has it mutated already 🧐🤨",
1245580765460484097,1,Former Vodafone Boss Blows Whistle on 5G Coronavirus IoT Vaccine Digital World Currency (Mirror) https://t.co/HD0QlgJ6J2 #BitChute,
1240428357927370752,1,"Let this be an object lesson for 5G promoters.  

Back in 2018, Vodafone announced plans to make Milan Europe's future 5G capital, with 80 percent 5G coverage planned by end of 2018.

Today Milan is Europe's Wuhan -
Exhibit 1 of the #COVID19 lockdown.

https://t.co/LGwElxTizJ https://t.co/MaXz6K2Yx2",
1246386970978385920,1,Okay so if the 5G theory isn’t true or have some truth too it why now at the worst time are they building cellphone towers? In the middle of a pandemic,
1245106674429562891,1,"@DB1_2 @JayMcCluskey74 @NotArsedLike2 I can't say for sure but given the research that I've done, I do know that 5G weakens your immune system.

""Former Vodafone Boss Blows the whistle on 5G &amp; Corona Virus connection."" 
https://t.co/8wXggj7LGQ",
1247999815117672449,1,"Conspiracy theories online suggest #5G #technology, which will increase mobile connectivity speeds, is negatively affecting the current #COVIDー19 pandemic. 5G has no detrimental health effects in general, according to the #ICNIRP. @GovMurphy @Jared_Maples https://t.co/95jyvxaLdJ",./data/new_images
1246357171174072321,1,"Wuhan was 1st city to roll out full 5G
Experts initially said Covid19 was no big deal
Now they're saying 5G is safe
Do you trust experts anymore?
https://t.co/1SXngdiwfW",
1244178688645578753,1,"the government is corrupt there’s a dictator there’s a global pandemic mass sh*otings falsehoods instead of the truth 5G harmful to health chemicals in the air &amp; water high cancer rates kids in cages poverty even in rich nations fires &amp; natural disasters
Must. Change. THE SYSTEM!",
1247957681702350851,1,"@Placebo90511492 bro
. check out the promoted tweet.. same guys telling France they got them covered for covid masks as long as they give them exclusive rights to 5G installations there. .
catch 22 the 5G whats gona kill you.. https://t.co/QVi6Jn6zYD",./data/new_images
1247218249688928262,1,I’ve read separately that 5G causes coronavirus; that the government are giving people coronavirus to cover up the effects of 5G; and that coronavirus didn’t exist: it’s just a way of controlling the population so they can put 5G masts up.,
1237670381701529601,1,"@PTamait, think about the 5G start up in Wuhan also, same symptoms as the flu, including a dry cough! Just a thought. https://t.co/4iIqrVcF9h",
1248967165589499904,1,"The 5g weaponry is being installed and finalized while you Sheeple are busy with this fake Covid hoax ! 60 ghz interferes with the oxygen molecules and makes it so your hemoglobins can’t absorb oxygen!!! They have these weapons in the schools and casinos and hospitals, everywhere",
1246704883866238976,1,"Does 5G affect the immune system, making the diffence between mild corona virus and severe. Are the deaths from the virus in the same areas as 5G masts, mostly the big cities.?
https://t.co/hFRJk8UzQB",
1249491266523615232,1,"the majority of covid-19 deaths have occured one mile from the 5G towers ! 
BREAKING: 5G INTENSIFIES COVID-19 SYMPTOMS ACCORDING TO EXPERTS TOWERS MUST BE REMOVED. https://t.co/Ga9H8421XQ https://t.co/MZMuIvy3aH",./data/new_images
1256931181456764928,1,"Excellent video, it’s such a relief and a breath of fresh air when we see other woke minds standing up against this and speaking out, we know we will be ridiculed, but like they say in the vid - it’s now or never. #5g #corona #CoronaHoax https://t.co/FDopKzD4HL",
1244006829203611649,1,"@StephenNolan stephe hope this lockdown isn't all about getting people inside and then turning this 5g on...did u know 5g was turned on in Wigan, italy, and Japan India and various cruise ships...",
1250239665723998208,1,"The Invisible Rainbow : A History of Electricity and Life - Chapter 7, Acute Electrical Illness #5G #COVID #COVID19 #Influenza #Flu #EMF #Technology  https://t.co/8FpVSbiwnc via @YouTube",
1249552809688797184,1,Using 5G to trigger covid-19 to make men shit is so freaking and should be aginst the geneva convention!,
1239699341830307840,1,Wuhan China already has 5g and people don’t realize that 5g is killing those people not corona. People out there are dropping like flies. When the vaccine comes out don’t get it unless you’re trying to do faster then get it lol,
1256478824176508929,1,Covid-19 is a 5G bio weapon created in China by the Rockefeller family +Gates and friends and they are using China as a patsy to start WW3 against the U.S. so the U.S. can go into North Korea (ally of China) to change their central bank to a rothschild/Rockefeller central bank.,
1247514897098756097,1,"Is there a 5G covid connection?  Did you know there was a vaccination campaign in Italy just before the breakout there?  
https://t.co/NcPYxBGaZb",
1248289563040256000,1,Ya’ll let someone tell you 5G is causing covid now you think you got the government all figured out eh,
1246503321872957441,1,this is all fake pandemic it's to get us all to get the test and then them 5G towers in your city is gone take you out why you think there so many people taken out so far,
1232362627273236486,1,@realDonaldTrump Do you really know about 5G? Have you consulted any magneto biologists? Please listen. Did you know 5G surrounds Wuhan? https://t.co/vmu0W8zHSm,
1243964263074586625,1,Crazy how before this coronavirus shit started popping off I saw a video on my TL talking about 5G cell towers being dangerous to our health and now we’re here,
1243338559702077446,1,"David David is inviting you to a scheduled Zoom meeting.

Topic: COVID19 IS IT A REAL VIRUS OR THE EFFECTS OF 5G WE ARE EXPERIENCING AROUND THE GLOBE?
Time: Mar 26, 2020 10:00 PM Eastern Time (US and Canada)

Join Zoom Meeting
https://t.co/jiz625m6pJ

Meeting ID: 171 103 301 https://t.co/DyOJw4NYXq",./data/new_images
1239158538917871616,1,The symptoms in wuhan started after implementation of 5G network and elsewhere too... it's not the virus creating all of this people relax...martial law is upon the sheep 🤦‍♂️,
1253181030355222530,1,There is #massmurder happening in the world and no one is #connecting the dots?#Radiowaves are toxic to our cells. #china developed a #weaponofmassdestruction. #5g will wipe out as many people they want..anywhere they want. #coronavirus is a hoax. It is #cellpoisoning. #billgates,
1236033675575336960,1,Derrick Broze of The Conscious Resistance joins us to discuss the hypothesis that 5G is responsible for the symptoms associated with the coronavirus outbreak. https://t.co/DGAfcti4V9 https://t.co/oxq6hGSexc,./data/new_images
1246729583233294342,1,"NEWS ALERT: Pastor Chris Oyakhilome Of Christ Embassy Makes Shocking Revelations About Covid-19, New Vaccine, 5G Network, More - Page 36 - Reducing fake news in Nigeria https://t.co/kQpTMpM7OZ",
1245453635124744193,1,"⏬⏬⏬😭Covid 19 is being blamed for the Elites turning on 5 G. First place to go on 5G was Wuhan China! The Second was Italy!! Than Spain. Notice Russia has none! They only use it for WEAPONRY!.
It poisons human cells.
That is why U SEE CHINA YOUTH KNOCKING DOWN THE 5 G TOWERS.",
1240363873238167553,1,"A 5G tower emits so much radiation that it cannot even be installed by someone without them wearing a Hazmat suit, lots of exposure to the radiation can destroy yours cells and DNA from the inside out, this whole coronavirus all over the news 24/7 is a distraction from whats true",
1235328343534338050,1,"Humans under 5G supposedly get the same symptoms of the CoronaVirus

Guess what else needs 5G tech to be fully incorporated properly to the masses? 

Cryptocurrency https://t.co/3LqH8SLo1A",
