ID,Text,Label
1240258151905210369,"""Mir Moien, a medical student from Kupwara, a small town in northern Kashmir, said that the most he’s able to do right now is a Google search to find out information about the pandemic. 'But I can’t actually click on any search results to read more'""",1
794715775433134080,"Tak se myślę o tym 5G i koronawirusie, jak nas zabijają, patrząc w mego smartfona 4G, zagryzając McDonaldem, popijając cola i zaciągając się papierosem. Całe szczęście, że globalne ocieplenie to mit. 😂 #COVIDー19 #coronavirus #5G #5GKILLS #koronawirus #mysli #epidemia",1
1248756482751021056,"Coronavirus: No Licence issued for deployment of 5G technology – FG

I hope the news is reliably true...FG pls be warn if you have any plans to issue licence pls scrap it because Nigerians are ok with d 4G",2
1247102005283340289,"From SGT report BIOWEAPON UNLEASHED
these clips show how people have been struck down in Wuhan.
Is this an infection/virus or something more sudden?
Like a thunderbolt?
Or a space-weapon? https://t.co/DjPsJkeJTX",3
1241360249149370368,@audreyannbolin Yeah I remember. And to your question again we have to wonder what are those deaths really from. Especially since we know that #Hydroxycloroquine along with a Z-pack or other treatments seem to cure ppl very quickly.,3
1252591676041895940,"Glad DNC is pushing for vote by mail. Here are the 4 safeguards for states to adopt:
➡️Postage is pre-paid.
➡️Ballots postmarked by Election Day must count.
➡️Voters are notified and can cure any signature matching issues.
➡️Community groups can collect and return sealed ballots. https://t.co/d7OVqrez0E",3
1253447432777502721,"@gamray It’s true we don’t no, am no saying it’s corona virus conspiracy , but we DONT no if 5g is safe!! If we don’t know if it’s safe or not then why are they flooding the world with it when everyone is in lockdown",3
1245370857532375040,"Bill Gates Partners With DARPA &amp; Department of Defense For New DNA Nanotech COVID19 Vaccine! 

Usually development, testing &amp; licensing for experimental vaccines takes 15-20 years to complete

What Could Go Wrong?

My Guests @_whitneywebb &amp; @TLAVagabond 
https://t.co/WiNJtvd2hE",2
1248278851626700800,Today our team intercepted  8 people who were taking the body for burrial in Kayunga. The body arrived by cargo plane from out of Uganda .The 8 are quarantined. Be reminded that bodies of Covid infected will not be allowed in the country.Please take note,3
1238152459916369920,Wow. I didn’t realise Eamonn was so gullible. Coronavirus: Eamonn Holmes under fire over 5G comments - BBC News https://t.co/q501PFLb9l,3
1222316064232681472,"“We know that conspiracy theories are a way of coping with stressful or little–understood situations such as coronavirus, so it makes sense that the 5G conspiracy has come to the fore."" https://t.co/aKtgYmL118",1
1251450233453715456,"Since y’all love the news and preaching about how we need to stay in quarantine, go check Tucker Carlson on fox. It’s almost like they lied to you. But don’t worry, it was for your best interest to destroy the economy &amp; implement 5g. Proceed to make your excuses for ignorance.",1
1246666786038300682,"' ""Wuhan became the first city in the world to turn on 5G in October 2019, during &amp; for: 'world military games' bonding-bullshit for the NWO soldier riot-police who'll be crackdown-lockdown enforcing 5G locally Globally, coming to kitchen near you, ""now swallow them beans Jack""'?",3
1245422575230111746,Tech meets social control in #China: Yunnan Police prints QR code with owner's ID info on knives in pilot program https://t.co/LutadVaAHt https://t.co/Q7HSzxC3XT,3
1248344303719649283,Ofcom weekly research: more people (30%) are actively seeking to avoid news about the pandemic; 44% of people have come across false or misleading information about Covid-19. False claims linking 5G to the outbreak remain the most common misinformation (51%) @OneHEmindsets,2
1246992807782486016,"This thread is full of so much dangerous ignorance.

First of all, PLEASE separate any concerns you might have about 5G from #COVID19.

Anyone who is pushing a message that you should stay away from life-saving vaccines should be sectioned, because it can only be madness. https://t.co/Z5s4GDA2Kt",2
1250085103998566400,One of the plans that will have to be considered is spectrum refarming/repurposing. I saw a lot of old infrastructure across major cities. #SouthAfrica must offer #Africa leadership in #5G and this crisis is an opportunity to reflect on that direction #COVID2019 https://t.co/6JrO4Nk3OH,3
1247413294224281600,"Judge Kimba Wood, however, has not yet entered the courtroom. 

The bench remains empty, as the attorneys wait for the hearing to begin.",3
